City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Kilindoni,TZ,76.01,scattered clouds,-7.9139,39.6668,Bustani B&B
346,Jamame,SO,74.97,light rain,0.0722,42.7506,
349,Pallasovka,RU,80.62,broken clouds,50.05,46.8833,"Hotel ""Natalia"""
352,Casablanca,MA,73.62,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
353,Manaure,CO,87.76,overcast clouds,11.7751,-72.4445,Hotel Palaaima
355,Tomatlan,MX,88.97,overcast clouds,19.9333,-105.25,El Salvial
359,Xiazhen,CN,75.69,overcast clouds,34.8022,117.1117,Xinjiayuan Hotel
363,Goderich,CA,75.9,clear sky,43.7501,-81.7165,Harmony Inn
364,Izumo,JP,82.29,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
366,Epanomi,GR,86.34,scattered clouds,40.4264,22.9286,Camping Akti Retzika
369,Faanui,PF,77.38,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
370,Ketchikan,US,73.87,clear sky,55.3422,-131.6461,Snow's Cove Lodge
372,Westport,US,88.45,clear sky,41.1415,-73.3579,The Westport Inn
375,Porto Walter,BR,76.3,overcast clouds,-8.2686,-72.7439,Hotel Silva
377,Bridgetown,BB,79.29,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
380,Pilar,BR,73.33,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
382,Jaicos,BR,80.83,clear sky,-7.3592,-41.1378,Hotel Jaicós
383,Madison,US,83.34,scattered clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
385,Buala,SB,82.04,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
387,Baker City,US,85.59,few clouds,44.7749,-117.8344,Bridge Street Inn
392,Zhangye,CN,76.55,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
395,Kirakira,SB,80.78,light rain,-10.4544,161.9205,SanBiz Lodge
396,Cururupu,BR,75.65,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
397,Merauke,ID,76.75,broken clouds,-8.4667,140.3333,
