City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Isangel,VU,2022-08-10 22:03:04,-19.55,169.2667,70.93,56,0,15.9,clear sky
60,Greenville,US,2022-08-10 22:07:00,35.6127,-77.3663,96.96,34,0,6.91,clear sky
61,Waingapu,ID,2022-08-10 22:03:53,-9.6567,120.2641,74.68,84,34,5.53,scattered clouds
62,Pisco,PE,2022-08-10 22:02:50,-13.7,-76.2167,61.02,82,6,6.04,clear sky
63,Marathon,US,2022-08-10 22:03:14,44.9,-89.7668,85.24,57,40,10.36,scattered clouds
64,Luanda,AO,2022-08-10 22:02:52,-8.8368,13.2343,66.56,90,0,6.62,clear sky
65,Dikson,RU,2022-08-10 22:02:33,73.5069,80.5464,41.94,90,99,10.83,overcast clouds
66,Saldanha,ZA,2022-08-10 22:01:40,-33.0117,17.9442,55.89,92,100,1.66,overcast clouds
67,Daru,PG,2022-08-10 22:02:19,-9.0763,143.2092,76.95,85,85,18.41,overcast clouds
68,Atuona,PF,2022-08-10 22:01:41,-9.8,-139.0333,77.4,76,13,21.72,few clouds
69,Tarko-Sale,RU,2022-08-10 22:07:01,64.9225,77.785,49.6,66,32,3.22,scattered clouds
70,Tanabe,JP,2022-08-10 22:07:01,33.7333,135.3667,81.37,85,100,5.08,overcast clouds
71,San Quintin,MX,2022-08-10 22:07:01,30.4833,-115.95,78.31,65,43,12.97,scattered clouds
72,Katsuura,JP,2022-08-10 22:01:42,35.1333,140.3,82.06,86,84,14.36,broken clouds
73,Cabra,ES,2022-08-10 22:02:04,37.4725,-4.4421,79.66,64,0,4.88,clear sky
74,Butaritari,KI,2022-08-10 22:02:34,3.0707,172.7902,82.02,74,87,20.6,light rain
75,Severo-Yeniseyskiy,RU,2022-08-10 22:07:02,60.3725,93.0408,51.1,99,30,2.89,scattered clouds
76,Laranjeiras Do Sul,BR,2022-08-10 22:07:02,-25.4078,-52.4161,45.32,93,87,4.12,overcast clouds
77,Bambous Virieux,MU,2022-08-10 22:01:36,-20.3428,57.7575,68.22,74,96,20.33,light rain
